model,n_train,n_test,r2_train,r2_test,mae_train,mae_test,era,target
lasso,185,80,0.07852919553230042,0.0033279086222313126,0.48853553015802886,0.37930618716652853,2004-2009,removal_z_within_era
lasso,144,63,0.05386177952468729,-0.059744542821298374,0.6371422322511306,0.5383914271361679,2010-2013,removal_z_within_era
lasso,108,47,0.3874766602033024,0.07430865224731031,0.3639265106697654,0.6153387738692627,2014-2016,removal_z_within_era
lasso,314,135,0.20386518711928292,0.10176621889900184,0.666492927862492,0.6182309273175248,2017-2025,removal_z_within_era
