model,roc_auc_test,auprc_test,balanced_acc_test,n_train,n_test,soft_rate_test
logistic,0.7578716216216216,0.4014480194069364,0.6856418918918918,655,450,0.17777777777777778
random_forest,0.8159459459459459,0.533749379795351,0.7180743243243244,655,450,0.17777777777777778
