era,n,n_soft,soft_rate,med_y3320,min_y3320
2004-2009,293,14,0.04778156996587031,99.9,21.052631578947366
2010-2013,207,53,0.2560386473429952,96.45454545454545,58.46153846153847
2014-2016,155,79,0.5096774193548387,94.88888888888889,67.22222222222223
2017-2025,450,80,0.17777777777777778,97.42261904761904,36.36363636363637
