target,model,n_train,n_test,r2_train,r2_test,mae_train,mae_test
removal_raw,ridge,627,449,0.19417021648766597,-0.7368117279245447,0.3282762474064717,0.20022283161772306
removal_raw,lasso,627,449,0.17578284450205972,-0.8381693993458934,0.33510612702682846,0.2326676632490777
removal_z,ridge,627,449,0.19417021648766564,-0.7368117279245705,0.6166332355050615,0.37609803772841816
removal_z,lasso,627,449,0.1774634134308285,-0.8032720239000768,0.6276935518033465,0.431265730520229
log10_effluent,ridge,627,449,0.6350275945414867,-1.0290934681589783,0.3566790706009873,0.30657511694394746
log10_effluent,lasso,627,449,0.6323203129075903,-0.7252073083615853,0.3545223623221642,0.2841801266895767
